"Name","NumCpu","MemoryMB","UsedSpaceGB","HostName","OS"
"LWEBLUK002","8","16384","45.558192277327179908752441406","mesxc04k118.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDEK023","8","16384","54.672991236671805381774902344","mesxc04k118.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBITK004","8","16384","46.027292089536786079406738281","mesxc04k119.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBPLK003","8","16384","45.562483966350555419921875","mesxc04k119.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDEK002","8","16384","54.244785839691758155822753906","mesxc04k119.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDEK012","8","16384","54.983286640606820583343505859","mesxc04k119.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LDCOASK002","1","4096","13.342045827768743038177490234","mesxc04k120.management.local","Microsoft Windows Server 2003 Standard (32-Bit)"
"LWEBLDK001","8","16384","45.548213151283562183380126953","mesxc04k120.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LCDNSCK003","2","4096","33.707175039686262607574462891","mesxc04k120.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDEK011","8","16384","54.183514591306447982788085938","mesxc04k120.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBPLK004","8","16384","44.894257757812738418579101562","mesxc04k120.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBFAK006","8","16384","45.482712561264634132385253906","mesxc04k120.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBWSK004","8","16384","47.020909335464239120483398438","mesxc04k120.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LDCOSVK002","1","4096","13.235267642885446548461914062","mesxc04k121.management.local","Microsoft Windows Server 2003 Standard (32-Bit)"
"LWEBROK003","8","16384","45.555490792728960514068603516","mesxc04k121.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LCDNSCK002","2","4096","33.842761956155300140380859375","mesxc04k121.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBSEK002","8","16384","45.551634198054671287536621094","mesxc04k121.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
