Time,Small_count,Small_min,Small_q1,Small_median,Small_q3,Small_max,Small_avg,Small_stddev,Large_count,Large_min,Large_q1,Large_median,Large_q3,Large_max,Large_avg,Large_stddev,Big_count,Big_min,Big_q1,Big_median,Big_q3,Big_max,Big_avg,Big_stddev
2014-03-01 19:19:03 +0100,40,11.0,12.0,12.0,12.0,15.0,12.13,0.91,40,14.0,18.0,25.0,28.0,45.01,24.15,6.64,40,25.0,28.0,32.0,39.0,48.01,33.38,5.87
2014-03-01 19:48:56 +0100,40,11.0,12.0,12.0,12.0,16.0,12.1,0.98,40,14.0,17.0,18.5,25.0,31.0,20.48,4.79,40,19.0,24.0,27.0,31.0,48.01,27.8,5.98
2014-03-01 20:18:49 +0100,40,11.0,12.0,12.0,12.0,13.0,12.03,0.7,40,14.0,16.0,18.0,25.25,32.0,20.08,4.92,40,19.0,23.0,26.0,31.0,41.0,26.8,5.1
2014-03-01 20:49:02 +0100,40,11.0,12.0,12.0,12.0,13.0,12.0,0.72,40,14.0,25.0,27.0,31.0,40.0,27.28,5.19,40,22.0,32.0,33.0,36.5,46.01,34.03,5.56
2014-03-01 21:18:57 +0100,40,11.0,11.0,11.0,11.0,13.0,11.18,0.69,40,14.0,21.75,25.0,27.0,32.0,23.4,4.92,40,19.0,24.75,27.0,31.25,77.01,29.7,10.74
2014-03-01 21:48:48 +0100,40,11.0,11.0,12.0,12.0,13.0,11.7,0.8,40,14.0,15.0,18.0,21.5,35.0,19.08,5.02,40,19.0,25.0,27.0,29.0,34.0,26.78,3.89
2014-03-01 22:18:59 +0100,40,11.0,11.75,12.0,12.0,13.0,11.78,0.7,40,14.0,17.75,24.0,27.25,37.0,24.33,6.07,40,20.0,25.75,29.0,31.25,38.0,28.18,4.41
2014-03-01 22:48:51 +0100,40,11.0,11.0,11.0,12.0,19.0,11.65,1.45,40,14.0,17.0,18.0,19.25,26.0,18.73,3.44,40,19.0,25.0,26.5,28.25,36.0,26.58,3.83
2014-03-01 23:19:07 +0100,40,11.0,11.0,12.0,12.0,13.0,11.65,0.81,40,14.0,15.0,17.0,18.0,32.0,18.05,4.48,40,19.0,25.75,26.0,27.0,33.0,26.15,3.35
2014-03-01 23:49:00 +0100,40,11.0,12.0,12.0,12.0,13.0,11.98,0.58,40,14.0,17.0,24.0,27.0,35.0,22.73,5.96,40,20.0,28.75,33.0,40.0,56.01,34.28,7.07
2014-03-02 00:49:09 +0100,40,11.0,12.0,12.0,12.0,22.0,12.48,2.2,40,14.0,23.0,24.5,27.0,34.0,24.08,4.18,40,24.0,31.0,32.5,36.25,47.01,33.45,4.94
2014-03-02 01:26:41 +0100,40,11.0,12.0,12.0,12.0,13.0,11.98,0.62,40,14.0,18.0,24.0,27.0,31.0,22.13,5.35,40,20.0,27.0,29.0,32.0,43.0,29.4,3.71
2014-03-02 01:48:50 +0100,40,11.0,11.0,11.0,11.0,12.0,11.23,0.68,40,15.0,17.0,18.0,24.0,27.0,19.85,3.83,40,19.0,26.0,27.0,31.25,47.0,28.7,5.62
2014-03-02 02:19:18 +0100,40,11.0,11.0,11.0,11.0,14.0,11.33,0.9,40,14.0,18.0,26.5,28.0,38.0,24.63,5.96,40,20.0,26.0,29.0,35.0,45.01,30.2,5.9
2014-03-02 02:49:10 +0100,40,10.0,11.0,12.0,12.0,12.0,11.7,0.67,40,14.0,17.0,21.0,24.25,36.0,21.38,5.36,40,20.0,25.0,26.5,32.0,36.0,27.35,4.01
2014-03-02 03:19:06 +0100,40,12.0,12.0,12.0,12.0,12.0,12.0,0.55,40,15.0,25.0,26.5,28.75,58.01,28.25,7.63,40,22.0,33.0,33.0,42.5,55.01,37.08,7.85
2014-03-02 03:48:56 +0100,40,11.0,12.0,12.0,12.0,14.0,11.93,0.8,40,14.0,14.0,17.0,21.25,28.0,18.35,4.36,40,19.0,27.0,31.0,34.75,44.0,31.15,5.46
2014-03-02 04:18:47 +0100,40,11.0,11.0,11.0,12.0,12.0,11.35,0.72,40,14.0,16.0,18.0,18.25,31.0,18.6,3.95,40,19.0,25.0,26.0,29.0,33.0,26.43,3.58
2014-03-02 04:48:57 +0100,40,9.0,11.0,12.0,12.0,13.0,11.5,0.73,40,13.0,15.0,18.0,23.0,32.0,19.03,4.39,40,19.0,25.0,26.0,27.5,38.0,26.4,4.55
2014-03-02 05:18:48 +0100,40,11.0,11.0,12.0,12.0,12.0,11.63,0.72,40,14.0,16.75,18.0,18.25,33.0,18.63,4.48,40,19.0,26.0,26.5,29.0,39.0,27.25,3.94
2014-03-02 05:49:05 +0100,40,11.0,11.0,11.0,11.0,13.0,11.2,0.7,40,14.0,14.0,20.0,24.0,35.0,19.9,5.74,40,19.0,25.0,26.0,29.25,50.01,27.83,5.8
2014-03-02 06:19:10 +0100,40,11.0,11.0,11.0,11.0,12.0,11.05,0.58,40,21.0,25.0,27.0,30.25,38.0,28.08,4.12,40,26.0,33.0,33.0,37.5,49.01,34.63,5.66
2014-03-02 06:49:11 +0100,40,9.0,11.0,11.0,11.0,18.0,11.35,1.27,40,15.0,18.0,25.0,28.0,38.0,24.2,5.86,40,21.0,31.75,36.0,37.25,55.01,35.6,6.99
2014-03-02 07:18:52 +0100,40,12.0,12.0,12.0,12.0,12.0,12.0,0.55,40,24.0,27.0,27.0,30.25,38.0,28.7,3.54,40,19.0,25.75,27.5,34.25,45.0,29.6,6.14
2014-03-02 07:49:02 +0100,40,11.0,12.0,12.0,12.0,13.0,11.95,0.6,40,15.0,25.0,27.0,28.0,38.0,26.45,4.61,40,22.0,26.0,33.0,34.0,53.01,31.7,6.92
2014-03-02 08:18:51 +0100,40,11.0,12.0,12.0,12.0,12.0,11.93,0.58,40,14.0,15.0,21.0,25.0,35.0,21.08,5.85,40,19.0,24.75,26.0,29.25,37.0,26.8,4.47
2014-03-02 08:49:00 +0100,40,10.0,11.0,11.0,11.0,12.0,11.13,0.62,40,14.0,17.0,22.5,27.0,37.0,22.03,5.85,40,19.0,27.0,28.0,32.5,50.01,30.25,6.33
2014-03-02 09:18:50 +0100,40,11.0,12.0,12.0,12.0,19.0,12.2,1.69,40,14.0,15.0,21.5,24.25,30.0,20.8,5.14,40,19.0,26.0,28.0,32.0,36.0,28.45,3.95
2014-03-02 09:49:02 +0100,40,11.0,12.0,12.0,12.0,13.0,11.93,0.62,40,14.0,24.0,25.0,28.0,36.0,25.1,4.3,40,19.0,26.0,30.0,32.0,46.01,28.98,5.15
2014-03-02 10:18:52 +0100,40,10.0,11.0,12.0,12.0,13.0,11.68,0.75,40,14.0,18.0,20.0,25.0,38.0,21.68,5.85,40,19.0,24.0,27.0,30.0,34.0,26.78,3.99
2014-03-02 10:49:02 +0100,40,11.0,11.0,12.0,12.0,12.0,11.65,0.71,40,14.0,18.0,24.0,28.5,38.0,24.1,6.11,40,20.0,26.0,31.0,32.25,46.0,30.63,5.23
2014-03-02 11:18:51 +0100,40,11.0,11.0,11.0,12.0,19.0,11.55,1.42,40,15.0,18.0,19.0,24.0,33.0,20.98,4.35,40,20.0,26.0,28.0,30.0,38.0,28.05,3.42
2014-03-02 11:49:02 +0100,40,10.0,12.0,12.0,12.0,20.0,12.15,1.44,40,14.0,24.0,27.0,28.0,35.0,26.08,4.39,40,20.0,27.0,31.0,37.0,60.01,33.1,8.07
2014-03-02 12:18:51 +0100,40,11.0,11.0,11.0,12.0,21.0,11.78,1.84,40,14.0,18.0,24.0,27.0,38.0,23.95,5.89,40,20.0,27.0,32.0,35.25,45.01,31.85,5.5
2014-03-02 12:49:02 +0100,40,11.0,12.0,12.0,12.0,20.0,12.43,1.76,40,14.0,18.0,19.0,25.5,35.0,21.85,5.14,40,20.0,26.0,27.0,29.25,39.0,27.68,3.76
2014-03-02 13:18:52 +0100,40,11.0,12.0,12.0,12.0,13.0,11.93,0.62,40,14.0,17.75,18.0,25.0,27.0,20.78,4.36,40,20.0,25.0,26.0,27.0,34.0,26.5,2.54
