Time,Small_count,Small_min,Small_q1,Small_median,Small_q3,Small_max,Small_avg,Small_stddev,Large_count,Large_min,Large_q1,Large_median,Large_q3,Large_max,Large_avg,Large_stddev,Big_count,Big_min,Big_q1,Big_median,Big_q3,Big_max,Big_avg,Big_stddev
2014-03-01 11:18:38 +0100,40,11.0,11.0,11.0,11.0,16.0,11.28,1.02,40,14.0,15.0,18.5,23.5,47.01,20.83,7.32,40,16.0,17.0,22.0,27.25,36.0,23.1,6.38
2014-03-01 11:48:53 +0100,40,11.0,11.0,11.0,11.0,15.0,11.23,0.96,40,13.0,17.75,23.0,26.25,35.0,22.13,5.43,40,16.0,26.75,32.5,36.0,58.01,32.23,7.51
2014-03-01 12:18:49 +0100,40,9.0,11.0,11.0,12.0,13.0,11.33,0.72,40,15.0,18.0,23.0,27.0,34.0,23.63,5.57,40,26.0,31.75,34.5,37.0,57.01,35.1,6.75
2014-03-01 12:48:42 +0100,40,9.0,11.0,12.0,12.0,14.0,11.63,0.87,40,13.0,14.0,17.0,19.0,26.0,17.48,3.82,40,17.0,23.5,31.0,35.5,52.01,30.85,9.01
2014-03-01 13:18:55 +0100,40,11.0,11.0,11.0,11.0,19.0,11.3,1.39,40,15.0,20.0,24.0,27.25,37.0,24.13,5.73,40,24.0,30.75,32.0,37.25,46.0,33.53,5.46
2014-03-01 13:48:46 +0100,40,11.0,11.0,11.0,11.0,18.0,11.53,1.73,40,14.0,17.75,23.5,26.0,37.0,22.75,5.55,40,16.0,20.0,23.0,32.0,39.0,25.33,6.39
2014-03-01 14:18:40 +0100,40,11.0,11.0,11.0,12.0,19.0,11.8,1.85,40,16.0,23.0,26.5,29.25,34.0,26.43,4.39,40,23.0,31.0,33.0,39.0,50.01,34.73,5.56
2014-03-01 14:48:54 +0100,40,8.0,11.0,11.0,11.0,14.0,11.08,0.7,40,14.0,16.0,18.0,19.0,29.0,17.7,2.91,40,16.0,20.75,23.5,27.75,42.0,24.8,6.44
2014-03-01 15:18:45 +0100,40,2.0,11.0,11.0,11.0,14.0,10.95,0.64,40,13.0,17.0,17.0,20.5,34.0,19.33,5.06,40,16.0,21.75,23.5,29.0,36.0,24.83,5.64
2014-03-01 15:48:40 +0100,40,11.0,11.0,11.0,12.0,14.0,11.43,0.97,40,12.0,14.0,17.0,18.0,26.0,17.0,3.25,40,16.0,21.5,26.0,30.0,40.0,25.83,5.38
